site,landtype,stems_ha,big_stem_bas,canopy_cover,canopy_height
site_127,dry,18974.21408,4.049233821,62.90666667,10.3
site_128,riparian,10092.98686,15.39187355,82.66666667,21.1
site_129,dry,20349.21773,11.93259718,96.53333333,14.63333333
site_130,mix,9126.040079,20.76785574,88.90666667,21.63333333
site_131,riparian,12472.90812,20.21082961,80.93333333,14.66666667
site_132,mix,12232.56575,14.04758921,81.97333333,18.63333333
site_133,dry,14276.27027,35.41974704,86.48,24.53333333
site_134,dry,9470.303683,19.81645652,74,19.93333333
site_135,mix,16205.43077,28.896716,87.17333333,24.26666667
site_136,mix,24215.58559,16.3478607,58.74666667,21.81666667
site_137,dry,35732.9076,13.77025739,75.38666667,19.26666667
site_138,dry,17616.986,9.126119247,27.2,5.366666667
site_139,dry,40402.34669,16.03961417,38.64,16.1
site_140,riparian,12669.12734,21.78990132,92.02666667,23.2
site_141,riparian,12628.47421,24.60641006,40.72,13.4
site_142,dry,4672.646539,41.93924087,89.6,25.96666667
site_143,dry,4487.419052,19.6085115,76.77333333,15.46666667
site_144,dry,21179.37444,15.30773096,86.48,13.8
site_145,dry,21661.69115,5.2845694,16.10666667,19.43333333
site_146,riparian,14327.02103,24.79283812,90.64,28.86666667
site_147,riparian,17115.36811,31.5924831,81.28,21.26666667
site_148,dry,7468.40896,18.92107839,89.25333333,16.13333333
site_149,dry,11978.18042,19.48391286,85.44,22.3
site_150,dry,12349.79207,24.52151696,64.64,24.66666667
site_151,riparian,7753.34978,16.90012922,84.74666667,17.06666667
site_152,mix,13473.46161,22.68355653,90.64,17.5
site_153,mix,6794.975025,16.58768632,91.68,14.66666667
site_154,riparian,18811.86416,28.35414546,95.49333333,23.73333333
site_155,riparian,17860.64217,29.34595505,85.44,27.13333333
site_156,riparian,19429.44533,14.6611259,68.8,16.7
site_157,dry,13096.22281,19.57157961,92.02666667,17.7
site_158,dry,10633.10074,24.87130942,87.52,17.22333333
site_159,riparian,9839.495621,19.42134597,81.62666667,17.23333333
site_160,dry,13903.50195,25.14945049,90.98666667,25
site_161,dry,7019.067445,20.36482236,87.52,19.36666667
site_162,riparian,12054.49103,10.34128227,85.78666667,19.66666667
site_163,dry,9442.693062,18.42779388,84.05333333,17.93333333
site_164,dry,27387.69272,12.90645965,75.04,19.06666667
site_165,mix,20938.66313,28.78450414,92.02666667,21.58333333
site_166,mix,14979.3656,28.46272222,92.37333333,22.9
site_167,riparian,4543.271814,17.29048868,67.76,26.06666667
site_168,riparian,13498.38995,13.31543843,74,15.86666667
site_169,riparian,21045.52923,19.11819641,97.22666667,23.58333333
site_170,dry,2858.661591,16.42911217,94.10666667,20.6
site_171,riparian,3457.310527,29.54506357,90.29333333,33.33333333
site_172,dry,12586.92699,29.31986321,95.49333333,23.83333333
site_173,dry,9569.12292,12.14280027,62.56,12.73333333
site_174,mix,9627.289031,20.55150495,78.16,15.6
site_175,dry,19614.67282,4.411145483,61.86666667,10
site_176,dry,13437.54155,21.08151904,76.08,20.9
site_177,riparian,14094.61917,19.10934033,90.98666667,17.46666667
site_178,dry,15720.16919,23.40405148,88.90666667,21.13333333
site_179,dry,11112.47259,26.80391312,89.94666667,24.06666667
site_180,dry,13826.03466,23.42940585,90.29333333,20.56666667
site_181,riparian,14837.47353,29.85488945,81.97333333,17.73333333
site_182,dry,17745.20405,10.0916869,57.70666667,13.6
site_183,mix,13238.37746,27.5850432,74.69333333,17.46666667
site_184,riparian,10748.01371,23.85267053,86.13333333,27.16666667
site_185,dry,26095.15199,9.328745399,63.25333333,8.4
site_186,mix,18309.98369,6.276581304,95.84,9.8
site_187,dry,10487.36971,20.32028089,86.13333333,15.26666667
site_188,mix,12817.80324,18.31402224,84.74666667,17.79
site_189,dry,29962.9391,20.85117603,80.58666667,21
site_190,dry,22338.06995,5.870010703,34.13333333,18.4
site_191,dry,12999.45434,16.98358002,77.46666667,11.13333333
site_192,dry,10126.48721,12.63541259,57.01333333,8.966666667
site_193,dry,4120.015307,33.50545592,90.29333333,23.53333333
site_194,dry,23438.86193,3.375055473,42.10666667,7.4
site_195,dry,7526.312493,45.16703866,88.21333333,25.13333333
site_196,mix,25378.38264,12.67460908,80.58666667,18.84333333
site_197,mix,12485.42547,40.60526144,82.32,23.15666667
site_198,riparian,11716.11716,29.02113191,92.72,21.16666667
site_199,mix,18906.21291,23.60087582,74.34666667,19.81666667
site_200,dry,12960.58941,25.53351215,90.64,21.41
site_201,mix,2509.927505,24.63601953,80.93333333,22.06666667
site_202,mix,14193.17583,26.84301825,86.48,20.46666667
site_203,riparian,12231.67165,29.58741875,94.8,27.06666667
site_204,dry,6738.334529,40.58033127,87.86666667,24.46666667
site_205,dry,9116.20502,17.10575091,83.36,11.5
site_206,dry,7415.607427,25.66748897,96.18666667,17.43333333
site_207,dry,16024.98952,19.69187094,95.84,24
site_208,dry,19835.82037,7.986255776,70.53333333,16.2
site_209,riparian,16300.41104,8.486471141,51.81333333,13.53333333
site_210,riparian,28912.00378,22.97696244,36.56,20.86666667
